topic_name	object_name	topic_entry	object_entry	primary_batch_or_group	primary_target	recommended_read_order	boundary_note
财报估值与组合管理	主动组合管理对象	10_source_library_archive/topic_entry/finance_valuation_portfolio_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/active_portfolio_management_object_entry_v1.md	10_source_library_archive/mirror_kimi_inbox/GROUP_10_A5_财报_估值_组合管理/	10_source_library_archive/mirror_kimi_inbox/GROUP_10_A5_财报_估值_组合管理/01_A5_cutpack_v1_final/Active_Portfolio_Management/INDEX.md	先看总索引，再按风险、信息比率、组合构建和绩效分析章节下钻	当前已按正式通过口径使用，但仍处于稳定 staging 入口，不是正式来源层 bundle 批次
财报估值与组合管理	上市公司财报估值对象	10_source_library_archive/topic_entry/finance_valuation_portfolio_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/listed_company_valuation_object_entry_v1.md	10_source_library_archive/mirror_kimi_inbox/GROUP_10_A5_财报_估值_组合管理/	10_source_library_archive/mirror_kimi_inbox/GROUP_10_A5_财报_估值_组合管理/01_A5_cutpack_v1_final/上市公司财报分析与股票估值/INDEX.md	先看总索引，再按认识财报、财报指标、估值应用、价值投资实战四段阅读	当前已按正式通过口径使用，但仍处于稳定 staging 入口，不是正式来源层 bundle 批次
财报估值与组合管理	郭永清财报估值对象	10_source_library_archive/topic_entry/finance_valuation_portfolio_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/guo_yongqing_financial_statement_object_entry_v1.md	10_source_library_archive/mirror_kimi_inbox/GROUP_10_A5_财报_估值_组合管理/	10_source_library_archive/mirror_kimi_inbox/GROUP_10_A5_财报_估值_组合管理/01_A5_cutpack_v1_final/财务报表分析与股票估值_郭永清/INDEX.md	先看总索引，再按估值章节与投资实战案例下钻，必要时回看财报分析框架	当前已按正式通过口径使用，但仍处于稳定 staging 入口，不是正式来源层 bundle 批次
事件驱动选股	业绩与公告事件驱动对象	10_source_library_archive/topic_entry/event_driven_stock_selection_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/earnings_announcement_event_object_entry_v1.md	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_62份研究PDF/A股_量化选股_研究PDF_总摘要_v1_part1.md	先看事件驱动资料卡，再看 S-017/S-018/S-020/S-021 这组可重开候选，最后抽事件时间窗与标签字段	GROUP_08 当前仍属待入库中转侧，这里是研究摘要 first-hop，不是正式来源层 bundle
行业轮动与风格轮动	行业轮动与风格轮动对象	10_source_library_archive/topic_entry/industry_rotation_style_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/industry_rotation_signal_object_entry_v1.md	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_62份研究PDF/A股_量化资产配置_研究PDF_总摘要_v1.md	先看资产配置候选，再看 A-C01~A-C04，最后抽行业排序、多空组合与风格阈值字段	GROUP_08 当前仍属待入库中转侧，这里是研究摘要 first-hop，不是正式来源层 bundle
多因子相关性选股	相关性选股框架对象	10_source_library_archive/topic_entry/multi_factor_correlation_stock_selection_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/correlation_stock_selection_framework_object_entry_v1.md	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_62份研究PDF/A股_量化选股_研究PDF_总摘要_v1_part2.md	先看 S-028/S-029/S-031，再看 S-C01，最后抽因子库、显著性规则和组合分层输出	GROUP_08 当前仍属待入库中转侧，这里是研究摘要 first-hop，不是正式来源层 bundle
动态因子有效性	动态因子有效性对象	10_source_library_archive/topic_entry/dynamic_factor_validity_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/dynamic_factor_validity_object_entry_v1.md	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_62份研究PDF/A股_量化选股_研究PDF_总摘要_v1_part2.md	先看 S-039/S-040/S-041，再抽 Spearman 序列、尾部相关、强弱指数和净换手率定义	GROUP_08 当前仍属待入库中转侧，这里是研究摘要 first-hop，不是正式来源层 bundle
市场择时信号	市场择时信号对象	10_source_library_archive/topic_entry/market_timing_signal_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/market_timing_signal_object_entry_v1.md	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_62份研究PDF/A股_量化择时_研究PDF_总摘要_v1.md	先看 T-C01/T-C02，再抽一致性指标、预警/反转信号和产业资本滚动窗口字段	GROUP_08 当前仍属待入库中转侧，这里是研究摘要 first-hop，不是正式来源层 bundle
趋势仓位与轮动仓位	趋势仓位对象	10_source_library_archive/topic_entry/trend_rotation_positioning_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/trend_position_object_entry_v1.md	10_source_library_archive/batch_141_trend_rotation_positioning_absorb__20260712/	10_source_library_archive/batch_141_trend_rotation_positioning_absorb__20260712/02_absorb_index/ashare_p0_positioning_bridge_decision_v1.md	先看项目裁决，再看综合摘要，最后回看四轴状态与 VanTharp R 上游对象	当前是综合吸收批与桥接裁决入口，不是默认仓位引擎或运行时门控
趋势仓位与轮动仓位	轮动仓位对象	10_source_library_archive/topic_entry/trend_rotation_positioning_topic_entry_v1.md	10_source_library_archive/topic_entry/object_entry/rotation_position_object_entry_v1.md	10_source_library_archive/batch_141_trend_rotation_positioning_absorb__20260712/	10_source_library_archive/batch_141_trend_rotation_positioning_absorb__20260712/02_absorb_index/ashare_p0_positioning_bridge_decision_v1.md	先看项目裁决，再看综合摘要，最后回看行业轮动对象入口与上游外部材料	当前是综合吸收批与桥接裁决入口，不是默认行业配置引擎或组合优化器
