lifted_rel_path	target_rel_path	action	conflict_rel_path	final_decision
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业轮动模型/板块持仓测算在创业板风格轮动中的应用.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业轮动模型/板块持仓测算在创业板风格轮动中的应用.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业轮动模型/海通AK行业轮动策略——结构性行情必杀技.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业轮动模型/海通AK行业轮动策略——结构性行情必杀技.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业轮动模型/行业动量策略进阶之一：间隔期、系统性风险及换手率的影响.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业轮动模型/行业动量策略进阶之一：间隔期、系统性风险及换手率的影响.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业轮动模型/衍生产品及量化组合管理策略介绍.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/行业轮动模型/衍生产品及量化组合管理策略介绍.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/风格轮动模型/华夏上证行业ETF风格轮动策略之一：——利用债券YTM打造行业风格导航仪.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/风格轮动模型/华夏上证行业ETF风格轮动策略之一：——利用债券YTM打造行业风格导航仪.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/风格轮动模型/华夏上证行业ETF风格轮动策略之三：——基于涨跌比择时的绝对收益动量策略.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/风格轮动模型/华夏上证行业ETF风格轮动策略之三：——基于涨跌比择时的绝对收益动量策略.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/风格轮动模型/华夏上证行业ETF风格轮动策略之二——强弱趋势捕捉组合投资机会.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/风格轮动模型/华夏上证行业ETF风格轮动策略之二——强弱趋势捕捉组合投资机会.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/风格轮动模型/华夏上证行业ETF风格轮动策略之四：——基于残差动量的相对收益动量策略.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/风格轮动模型/华夏上证行业ETF风格轮动策略之四：——基于残差动量的相对收益动量策略.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/风格轮动模型/如虎添翼,两融带给ETF的投资机会——海通ETF风格轮动模型实证分析.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化资产配置 17份/风格轮动模型/如虎添翼,两融带给ETF的投资机会——海通ETF风格轮动模型实证分析.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之一——业绩预告之一——把握扭亏、预减公告，获取短期超额收益.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之一——业绩预告之一——把握扭亏、预减公告，获取短期超额收益.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之七——高送转行情下的事件性投资机会.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之七——高送转行情下的事件性投资机会.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之三——指数样本股调整.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之三——指数样本股调整.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之九——股权激励续篇.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之九——股权激励续篇.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之二——关注主板预减快报后的短期反弹机会以及中小板盈利公告.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之二——关注主板预减快报后的短期反弹机会以及中小板盈利公告.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之五——大股东增减持——关注增持比例较大的事件机会.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之五——大股东增减持——关注增持比例较大的事件机会.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之六——规避预案陷阱，把握实施收益.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之六——规避预案陷阱，把握实施收益.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之十一——事件驱动组合止损机制设计.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之十一——事件驱动组合止损机制设计.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之十三——定增事件投资——甄别市场，把握买点.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之十三——定增事件投资——甄别市场，把握买点.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之十二——重要股东持股结构变化蕴含的信息分析.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之十二——重要股东持股结构变化蕴含的信息分析.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之四——ETF事件套利研究.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/事件驱动策略之四——ETF事件套利研究.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/量化选股之事件驱动策略.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/事件驱动策略系列/量化选股之事件驱动策略.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/分析师荐股能力评定与跟踪.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/分析师荐股能力评定与跟踪.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/A股全市场选股策略研究.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/A股全市场选股策略研究.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/从极值角度进行选股因子有效性的确认——在换手率上的实证.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/从极值角度进行选股因子有效性的确认——在换手率上的实证.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/商业贸易行业选股策略.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/商业贸易行业选股策略.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/相关性选股策略——全市场选股方法改进.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/相关性选股策略——全市场选股方法改进.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/相关性选股策略——在公用事业行业上的实证以及选股因子权重的再讨论.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/相关性选股策略——在公用事业行业上的实证以及选股因子权重的再讨论.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/相关性选股策略——在化学工业行业上的实证.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/相关性选股策略——在化学工业行业上的实证.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/相关性选股策略——在房地产行业上的实证.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/相关性选股策略——在房地产行业上的实证.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/相关性选股策略——在有色金属行业上的实证.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/相关性选股策略——在有色金属行业上的实证.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
10_来源库_SOURCE_LIBRARY/01_Kimi拆书待入库/GROUP_08_A股量化_数据研究__SOURCE_RAW/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/相关性选股策略——在纺织服装行业上的实证.pdf	10_source_library_archive/mirror_kimi_inbox/GROUP_08_A股量化_数据研究/01_source_raw/新的参考书/《Python股票量化交易从入门到实践》完整版/2.其他量化资料(62份)（赠品）/量化选股 40份/多因子选股模型/相关性选股策略——在纺织服装行业上的实证.pdf	COPIED		COPY_EXISTING_MIRROR_TO_PROPOSED_TARGET__KEEP_BOTH_PATHS
