relative_id,relative_family,relative_level,relative_status,source_relation_id,symbol,timeframe,session_id,session_timezone,session_local_date,ib_window_minutes,opening_range_window_minutes,first_break_direction,first_break_mode,break_side,or_break_edge_value,ib_same_side_edge_value,same_side_gap_to_ib,shared_boundary_on_break_side,first_break_relative_case,can_confirm_ib_break_from_current_fields,requires_break_price_for_ib_confirmation,inference_scope,width_error_day
IBORFB|IBOR|EURUSD|M1|london|2026-03-26|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-03-26|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-26,60,30,down,wick,down,1.15616,1.15577,0.00039,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-03-26|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-03-26|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-26,60,30,down,wick,down,1.15546,1.15430,0.00116,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-03-27|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-03-27|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-27,60,30,down,close,down,1.15403,1.15373,0.00030,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-03-27|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-03-27|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-27,60,30,down,wick,down,1.15101,1.15091,0.00010,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-03-30|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-03-30|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-30,60,30,down,close,down,1.15149,1.15136,0.00013,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-03-30|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-03-30|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-30,60,30,down,wick,down,1.14880,1.14875,0.00005,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-03-31|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-03-31|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-03-31,60,30,up,close,up,1.14722,1.14728,0.00006,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-03-31|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-03-31|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-03-31,60,30,down,wick,down,1.14580,1.14575,0.00005,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-04-01|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-04-01|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-01,60,30,up,wick,up,1.15629,1.15665,0.00036,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-04-01|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-04-01|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-01,60,30,up,wick,up,1.16036,1.16057,0.00021,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-04-02|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-04-02|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-02,60,30,down,wick,down,1.15349,1.15321,0.00028,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-04-02|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-04-02|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-02,60,30,down,wick,down,1.15111,1.15091,0.00020,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-04-03|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-04-03|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-03,60,30,down,wick,down,1.15344,1.15339,0.00005,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-04-03|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,shared_edge_confirmed_from_current_fields,IBOR|EURUSD|M1|new_york|2026-04-03|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-03,60,30,down,close,down,1.15419,1.15419,0.00000,1,shared_edge_break,1,0,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-04-06|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-04-06|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-06,60,30,up,close,up,1.15213,1.15251,0.00038,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-04-06|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,shared_edge_confirmed_from_current_fields,IBOR|EURUSD|M1|new_york|2026-04-06|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-06,60,30,up,wick,up,1.15516,1.15516,0.00000,1,shared_edge_break,1,0,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-04-07|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-04-07|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-07,60,30,up,wick,up,1.15360,1.15388,0.00028,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-04-07|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,shared_edge_confirmed_from_current_fields,IBOR|EURUSD|M1|new_york|2026-04-07|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-07,60,30,up,wick,up,1.15587,1.15587,0.00000,1,shared_edge_break,1,0,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-04-08|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,shared_edge_confirmed_from_current_fields,IBOR|EURUSD|M1|london|2026-04-08|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-08,60,30,up,close,up,1.16811,1.16811,0.00000,1,shared_edge_break,1,0,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-04-08|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-04-08|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-08,60,30,up,close,up,1.16924,1.17101,0.00177,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-04-09|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-04-09|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-09,60,30,up,close,up,1.16699,1.16711,0.00012,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-04-09|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-04-09|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-09,60,30,down,close,down,1.16711,1.16696,0.00015,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-04-10|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-04-10|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-10,60,30,down,wick,down,1.16931,1.16911,0.00020,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-04-10|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-04-10|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-10,60,30,up,close,up,1.17158,1.17188,0.00030,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-04-13|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-04-13|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-13,60,30,down,close,down,1.16870,1.16858,0.00012,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-04-13|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-04-13|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-13,60,30,up,wick,up,1.16951,1.16997,0.00046,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-04-14|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-04-14|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-14,60,30,up,close,up,1.17693,1.17699,0.00006,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-04-14|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-04-14|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-14,60,30,up,close,up,1.17982,1.18020,0.00038,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-04-15|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-04-15|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-15,60,30,up,close,up,1.17892,1.17896,0.00004,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-04-15|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,shared_edge_confirmed_from_current_fields,IBOR|EURUSD|M1|new_york|2026-04-15|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-15,60,30,up,wick,up,1.17835,1.17835,0.00000,1,shared_edge_break,1,0,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-04-16|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-04-16|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-16,60,30,down,wick,down,1.18103,1.18082,0.00021,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-04-16|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-04-16|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-16,60,30,up,close,up,1.17802,1.17887,0.00085,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-04-17|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-04-17|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-17,60,30,down,wick,down,1.17816,1.17815,0.00001,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-04-17|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-04-17|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-17,60,30,up,wick,up,1.17959,1.17987,0.00028,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-04-20|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-04-20|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-20,60,30,down,wick,down,1.17571,1.17563,0.00008,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-04-20|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-04-20|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-20,60,30,up,wick,up,1.17713,1.17747,0.00034,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-04-21|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-04-21|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-21,60,30,up,close,up,1.17765,1.17767,0.00002,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-04-21|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-04-21|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-21,60,30,up,wick,up,1.17614,1.17664,0.00050,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|london|2026-04-22|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|london|2026-04-22|60|IB60|OR30,EURUSD,M1,london,Europe/London,2026-04-22,60,30,up,close,up,1.17409,1.17425,0.00016,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
IBORFB|IBOR|EURUSD|M1|new_york|2026-04-22|60|IB60|OR30,IB_OR_FIRST_BREAK_RELATIVE,RELATION_P0,conservative_gap_remaining_inference,IBOR|EURUSD|M1|new_york|2026-04-22|60|IB60|OR30,EURUSD,M1,new_york,America/New_York,2026-04-22,60,30,down,close,down,1.17487,1.17426,0.00061,0,or_break_with_ib_same_side_gap_remaining,0,1,edge_alignment_only,0
