file_name	repo_path	source_path	primary_theme	repo_role	ingest_decision	note
三根 K 线改变走势：看涨拒绝块的完美示范_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\三根 K 线改变走势：看涨拒绝块的完美示范_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\三根 K 线改变走势：看涨拒绝块的完美示范_导出.md	case_replay	execution_examples / psychology	REFERENCE_ONLY	偏视频导出总结，先作为方法论参考保留，不直接量化。
他在 3 秒钟亏掉 $1500：你绝对不想经历的真实交易事故_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\他在 3 秒钟亏掉 $1500：你绝对不想经历的真实交易事故_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\他在 3 秒钟亏掉 $1500：你绝对不想经历的真实交易事故_导出.md	psychology_risk	risk_guard / discipline	INGEST_AS_METHOD_REFERENCE	适合沉淀为纪律与停手机制，不是 alpha 来源。
做交易最核心的一课：理解这一点，你的交易会完全不一样_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\做交易最核心的一课：理解这一点，你的交易会完全不一样_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\做交易最核心的一课：理解这一点，你的交易会完全不一样_导出.md	psychology_risk	risk_guard / discipline	INGEST_AS_METHOD_REFERENCE	适合沉淀为纪律与停手机制，不是 alpha 来源。
内部外部流动性讲解_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\内部外部流动性讲解_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\内部外部流动性讲解_导出.md	case_replay	execution_examples / psychology	REFERENCE_ONLY	偏视频导出总结，先作为方法论参考保留，不直接量化。
别再瞎交易！机构用的订单块 OB，我今天一次讲透_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\别再瞎交易！机构用的订单块 OB，我今天一次讲透_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\别再瞎交易！机构用的订单块 OB，我今天一次讲透_导出.md	ict_concepts	concepts / setup_library	INGEST_AS_METHOD_REFERENCE	适合沉淀为概念词典与 setup 解释层，需后续去主观化。
我是如何在10分钟内亏损 $5,357 的｜一次值得复盘的交易_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\我是如何在10分钟内亏损 $5,357 的｜一次值得复盘的交易_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\我是如何在10分钟内亏损 $5,357 的｜一次值得复盘的交易_导出.md	psychology_risk	risk_guard / discipline	INGEST_AS_METHOD_REFERENCE	适合沉淀为纪律与停手机制，不是 alpha 来源。
我是如何失去 $10,000 浮盈的｜低概率环境下最重要的一课_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\我是如何失去 $10,000 浮盈的｜低概率环境下最重要的一课_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\我是如何失去 $10,000 浮盈的｜低概率环境下最重要的一课_导出.md	psychology_risk	risk_guard / discipline	INGEST_AS_METHOD_REFERENCE	适合沉淀为纪律与停手机制，不是 alpha 来源。
我是如何用 ICT 在 1 小时内做到 $5,000 盈利的（完整交易逻辑）_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\我是如何用 ICT 在 1 小时内做到 $5,000 盈利的（完整交易逻辑）_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\我是如何用 ICT 在 1 小时内做到 $5,000 盈利的（完整交易逻辑）_导出.md	case_replay	execution_examples / replay	REFERENCE_ONLY	更适合作为案例回放，除非后续能抽成稳定规则。
我是如何用15分钟赚到 $6,827 的（完整交易复盘）_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\我是如何用15分钟赚到 $6,827 的（完整交易复盘）_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\我是如何用15分钟赚到 $6,827 的（完整交易复盘）_导出.md	case_replay	execution_examples / replay	REFERENCE_ONLY	更适合作为案例回放，除非后续能抽成稳定规则。
机构算法的秘密：如何提前抓到市场的顶部与底部？（SMT篇）_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\机构算法的秘密：如何提前抓到市场的顶部与底部？（SMT篇）_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\机构算法的秘密：如何提前抓到市场的顶部与底部？（SMT篇）_导出.md	ict_concepts	concepts / setup_library	INGEST_AS_METHOD_REFERENCE	适合沉淀为概念词典与 setup 解释层，需后续去主观化。
独角兽模型到底有多强？本周出现次数直接说明一切_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\独角兽模型到底有多强？本周出现次数直接说明一切_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\独角兽模型到底有多强？本周出现次数直接说明一切_导出.md	setup_rating_system	setup_filter / execution_grading	INGEST_AS_METHOD_REFERENCE	适合抽成交易机会分级框架，但不能直接写成已验证策略。
看懂结构，你就能看懂趋势：小白入门第二课_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\看懂结构，你就能看懂趋势：小白入门第二课_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\看懂结构，你就能看懂趋势：小白入门第二课_导出.md	ict_concepts	concepts / setup_library	INGEST_AS_METHOD_REFERENCE	适合沉淀为概念词典与 setup 解释层，需后续去主观化。
看懂蜡烛图，你就能看懂市场：小白入门第一课_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\看懂蜡烛图，你就能看懂市场：小白入门第一课_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\看懂蜡烛图，你就能看懂市场：小白入门第一课_导出.md	ict_concepts	concepts / setup_library	INGEST_AS_METHOD_REFERENCE	适合沉淀为概念词典与 setup 解释层，需后续去主观化。
第三节｜看懂 BOS，你就能看懂趋势_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\第三节｜看懂 BOS，你就能看懂趋势_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\第三节｜看懂 BOS，你就能看懂趋势_导出.md	ict_concepts	concepts / setup_library	INGEST_AS_METHOD_REFERENCE	适合沉淀为概念词典与 setup 解释层，需后续去主观化。
这就是情绪化交易：17笔冲动操作如何毁掉一个账户_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\这就是情绪化交易：17笔冲动操作如何毁掉一个账户_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\这就是情绪化交易：17笔冲动操作如何毁掉一个账户_导出.md	psychology_risk	risk_guard / discipline	INGEST_AS_METHOD_REFERENCE	适合沉淀为纪律与停手机制，不是 alpha 来源。
送你一套能直接实盘的交易系统 + 评级测评体系（免费领取）_导出.md	12_tooling_runtime_archive\batch_09_legacy_analysis_migration__20260707\lifted_trading_analysis\10_来源库_SOURCE_LIBRARY\00_外部公开资料与方法论参考\02_外部视频与方法论参考\Norman_NFTRADEZ_ICT_Trader_NYC\送你一套能直接实盘的交易系统 + 评级测评体系（免费领取）_导出.md	D:\Stock\cut_file\诺曼NFTRADEZ\送你一套能直接实盘的交易系统 + 评级测评体系（免费领取）_导出.md	setup_rating_system	setup_filter / execution_grading	INGEST_AS_METHOD_REFERENCE	适合抽成交易机会分级框架，但不能直接写成已验证策略。
