theme_cluster	frozen_file	line_range	evidence_key	why_match	note
topic_cycle	11_frozen_summaries_archive\batch_01_selected\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L88-L91	m05_exit_priority_ladder	止损/退潮/系统性风险三层退出优先级，与 YZ-B 的退潮判据和阶段撤退同主题	阶段撤退优先级主证据；A1 二层只补“一致后接分歧/退潮”的阶段撤退体感；顺口=动作层只执行：止损优先，退潮次之，系统性风险直接按退出梯子走
execution_discipline	11_frozen_summaries_archive\batch_01_selected\05_交易系统闭环模块\[模块]交易系统_五步骤资金风控复盘心理全体系.md	L52-L59	sys_stop_rules	“触及止损位无条件平仓”“触及止损位立即执行”与 YZ-B02 的“快纠错/快速复位”同主题	属于纪律层证据；顺口=动作层只执行：止损一到先砍，先活下来，不给主观解释加戏
execution_discipline	11_frozen_summaries_archive\batch_01_selected\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L96-L96	m05_discipline	“卖点纪律是保命的，严格执行卖点信号”与 YZ-B03 的“正确操作优先”同主题	适合作为对象组的“纪律底座”对照；顺口=动作层只执行：卖点信号一到就执行，纪律优先，不讲价
risk_filter	11_frozen_summaries_archive\batch_01_selected\05_交易系统闭环模块\[模块]交易系统_五步骤资金风控复盘心理全体系.md	L45-L46	sys_rr_filter	“买入时设止损/目标”“R:R<1:1.5禁止买入”属于风险过滤条件，与 YZ-B03 的风险过滤叙事同主题	仍不升级为自动门控；二层读法=先回系统止损与 R:R 主证据定能不能做，A1/G08 不负责放宽风控；顺口=动作层只执行：R:R 不够直接过滤，不拿 A1/G08 替风控开口子
risk_filter	11_frozen_summaries_archive\batch_01_selected\05_交易系统闭环模块\[模块]交易系统_五步骤资金风控复盘心理全体系.md	L63-L66	sys_5step_constraint	“闭环必须完整执行”属于系统性风险控制，与 YZ-B03 的“系统+防守”叙事同主题	用于强调“系统优先于单句技巧”；二层读法=先回闭环主证据定能不能做，再看 A1/G08 的退潮与扩散体感；顺口=动作层只执行：闭环没走完就不算做完，不拿单句技巧顶系统
intraday_shape	11_frozen_summaries_archive\batch_01_selected\03_交易策略执行模块\[模块]交易策略与优化_波段超短特色优化综合体系.md	L154-L160	m06_board_entry_conditions	打板条件含“涨停时间：早盘强势板/尾盘偷袭板不接”，与 YZ-B04 的尾盘/形态描述属于同主题对照	冻结层有明确“尾盘偷袭板不接”口径
intraday_shape	11_frozen_summaries_archive\batch_01_selected\03_交易策略执行模块\[模块]交易策略与优化_波段超短特色优化综合体系.md	L179-L191	m06_tail_rules	“四卖（尾盘卖）”“尾盘偷袭板禁止接力”与 YZ-B04 的“尾盘偷袭/风险可控”同主题	用于限制把观察项误升级为规则；顺口=动作层只执行：尾盘偷袭只当风险提醒，不把偷袭板当可追主线
execution_discipline	11_frozen_summaries_archive\batch_01_selected\05_交易系统闭环模块\[模块]交易系统_五步骤资金风控复盘心理全体系.md	L104-L109	sys_monthly_pause_rules	“连续2月亏损→暂停实盘，回测验证系统”与 YZ-B 的“纪律/停手/复位”叙事同主题	用于强调触发条件下的停手动作，不并旧卡号；顺口=动作层只执行：连续亏损触发就停手回测，不硬扛
risk_filter	11_frozen_summaries_archive\batch_01_selected\03_交易策略执行模块\[模块]交易策略与优化_波段超短特色优化综合体系.md	L183-L188	m06_ultrashort_limits	“单只≤20%/单日≤50%/连续2笔亏损=停止3天”等约束与 YZ-B 的风险过滤叙事同主题	仅做主题簇级对照，不升级为硬门控；顺口=动作层只执行：单只/单日仓位和连亏上限一到就收，不拿节奏好硬加仓
psychology_state	11_frozen_summaries_archive\batch_01_selected\05_交易系统闭环模块\[模块]交易系统_五步骤资金风控复盘心理全体系.md	L143-L145	sys_emotion_score_threshold	“总分>18分：禁止交易”属于状态差就停手，与 YZ-B 的“纪律/复位/停手”同主题	阈值只做证据，不升级为自动门控；顺口=动作层只执行：情绪分数一超线就停手，不拿主线热度硬顶
psychology_state	11_frozen_summaries_archive\batch_01_selected\05_交易系统闭环模块\[模块]交易系统_五步骤资金风控复盘心理全体系.md	L151-L153	sys_emotion_traps_rules	FOMO/报复交易的量化应对（只交易计划内标的、连续2笔亏损强制休息）与 YZ-B 的“主线/纪律/止损后复位”同主题	情绪陷阱对照证据
psychology_state	11_frozen_summaries_archive\batch_01_selected\05_交易系统闭环模块\[模块]交易系统_五步骤资金风控复盘心理全体系.md	L163-L167	sys_forced_rest_rules	强制休息规则（单日亏损/连续亏损/情绪评分/重大事件）与 YZ-B 的“触发条件下停手”同主题	状态管理证据；顺口=动作层只执行：单日亏损/连亏/情绪失衡触发就强制休息
risk_filter	11_frozen_summaries_archive\batch_01_selected\05_交易系统闭环模块\[模块]交易系统_五步骤资金风控复盘心理全体系.md	L185-L188	sys_position_upper_bound	单笔风险与单笔仓位上限写成硬约束，与 YZ-B 的风险过滤/防守同主题	仓位上限证据；顺口=动作层只执行：单笔风险和仓位上限一到就降，不拿主线热度顶仓位
risk_filter	11_frozen_summaries_archive\batch_01_selected\05_交易系统闭环模块\[模块]交易系统_五步骤资金风控复盘心理全体系.md	L195-L196	sys_size_over_cap_reduce	仓位计算超上限降至25%、低于5%放弃交易，与 YZ-B 的过滤弱信号和风险约束同主题	硬上限与放弃交易证据；顺口=动作层只执行：仓位超上限就降到25%，低于阈值就放弃交易，不硬凑
risk_filter	11_frozen_summaries_archive\batch_01_selected\05_交易系统闭环模块\[模块]交易系统_五步骤资金风控复盘心理全体系.md	L209-L215	sys_market_env_total_exposure	弱势下跌仅20%总仓、极端行情空仓，与 YZ-B 的市场环境过滤同主题	环境风险过滤证据；顺口=动作层只执行：弱势只留低仓，极端行情直接空仓，不硬做
risk_filter	11_frozen_summaries_archive\batch_01_selected\05_交易系统闭环模块\[模块]交易系统_五步骤资金风控复盘心理全体系.md	L242-L258	sys_drawdown_and_loss_ladder	三层风控、回撤降仓与连续亏损处理，与 YZ-B 的防守/仓位/停手同主题	回撤与连亏处理证据；顺口=动作层只执行：回撤和连亏一上梯子就降仓停手，不拿“赶紧翻本”顶风控
risk_filter	11_frozen_summaries_archive\batch_01_selected\05_交易系统闭环模块\[模块]交易系统_五步骤资金风控复盘心理全体系.md	L260-L269	sys_systemic_risk_actions	系统性风险应对（暴跌/黑天鹅/外部冲击）包含“空仓观望/清仓减仓”，与 YZ-B 的防守、风险过滤和退潮撤退叙事同主题	系统性风险证据，不升级为硬门控；顺口=动作层只执行：暴跌/黑天鹅先空仓观望或清仓减仓，不拿主线热度硬顶
risk_filter	11_frozen_summaries_archive\batch_01_selected\05_交易系统闭环模块\[模块]交易系统_五步骤资金风控复盘心理全体系.md	L270-L273	sys_no_trade_after_risk_trigger	风控触发后继续交易属于禁忌，与 YZ-B 的纪律和风险过滤同主题	风控触发后禁交易证据；顺口=动作层只执行：风控一旦触发，先停手，不讨论例外
risk_filter	11_frozen_summaries_archive\batch_01_selected\03_交易策略执行模块\[模块]交易策略与优化_波段超短特色优化综合体系.md	L306-L309	m06_signal_downgrade_rule	大盘/板块/重大消息面前后信号降级或不交易，与 YZ-B 的风险过滤和主线风险控制同主题	环境降级/不交易证据；顺口=动作层只执行：大盘/板块/消息面不对就降级或不交易，不拿局部强势硬开仓
execution_discipline	11_frozen_summaries_archive\batch_01_selected\体系GAS_可量化逻辑拆解归档V1.2.md	L77-L85	gas_layered_stoploss_defense	分层止损与移动止盈的出场框架可作为 YZ-B 执行纪律的旧冻结层可检索锚点	分层防护：初始止损/技术止损/极限止损/移动止盈/目标止盈
risk_filter	11_frozen_summaries_archive\batch_01_selected\体系GAS_可量化逻辑拆解归档V1.2.md	L100-L112	gas_position_formula_and_caps	仓位=三维取最小值+各维上限，可作为 YZ-B 风控与仓位约束的旧冻结层可检索锚点	实际仓位=min(信号等级仓位,趋势强度仓位,品种画像上限)
leader_and_mainline	11_frozen_summaries_archive\batch_01_selected\体系GAS_可量化逻辑拆解归档V1.2.md	L93-L98	gas_midcap_leader_lag_ratio	中军/龙头/补涨的仓位配比可作为 YZ-B 主线协同与层级识别的旧冻结层可检索锚点	中军:龙头:补涨=4:3:2（只做主题簇级对照）
risk_filter	11_frozen_summaries_archive\batch_01_selected\体系GAS_可量化逻辑拆解归档V1.2.md	L120-L127	gas_filter_sources_table	过滤条件的多源归档与禁忌过滤框架，可作为 YZ-B 风控过滤的旧冻结层可检索锚点	过滤条件模块：牛熊分界/大周期/量价/评分阈值/形态误差/KD超买超卖
risk_filter	11_frozen_summaries_archive\batch_01_selected\#量化分析体系V1.2.md	L100-L106	quant_iter_backtest_gate_rr	迭代规则要求回测验证（R:R>1.5）可作为 YZ-B 风控过滤的旧冻结层可检索锚点	只作为验收门槛对照，不升级为硬门控
topic_cycle	11_frozen_summaries_archive\_raw_snapshot_batch09\03_迭代后核心母版V1.2\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L80-L86	m05_fade_criteria_v12	题材退潮综合判定条目化可作为 YZ-B 的群体性退潮判据主证据（判据层）	满足2项以上触发：涨停数下降/龙头大跌/补涨跌停潮/中军跌破均线/成交额衰减/指数跌破
topic_cycle	11_frozen_summaries_archive\_raw_snapshot_batch09\03_迭代后核心母版V1.2\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L88-L91	m05_exit_priority_ladder_v12	止损/退潮/系统性风险的退出优先级可作为 YZ-B 的阶段撤退优先级主证据	止损优先于止盈；退潮信号优先于技术卖点；系统性风险优先于个股
leader_and_mainline	11_frozen_summaries_archive\_raw_snapshot_batch09\03_迭代后核心母版V1.2\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L117-L127	m05_roles_table_v12	中军/龙头/补涨的角色区分表可作为 YZ-B 主线/协同/末期识别的旧冻结层可检索锚点	市值/涨停特征/走势/资金性质/持续性/风险偏好六维区分
leader_and_mainline	11_frozen_summaries_archive\_raw_snapshot_batch09\03_迭代后核心母版V1.2\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L128-L131	m05_midcap_timing_v12	中军识别时机（发酵第1-5天）可作为 YZ-B 中军识别时机与板块扩散效应主证据	第1-3天观察；第3-5天确认；确认后不更换
intraday_shape	11_frozen_summaries_archive\_raw_snapshot_batch09\03_迭代后核心母版V1.2\03_交易策略执行模块\[模块]交易策略与优化_波段超短特色优化综合体系.md	L154-L156	m06_board_entry_tail_not_take_v12	打板买入量化条件含“尾盘14:30后涨停=偷袭板不接”，可作为 YZ-B 尾盘形态对照证据	只做主题簇级对照，不升级为硬门控
intraday_shape	11_frozen_summaries_archive\_raw_snapshot_batch09\03_迭代后核心母版V1.2\03_交易策略执行模块\[模块]交易策略与优化_波段超短特色优化综合体系.md	L179-L179	m06_tail_sell_rule_v12	四卖（尾盘卖）清仓条目化，可作为 YZ-B 尾盘动作层对照证据	动作层只执行：尾盘卖出条件触发就清仓
risk_filter	11_frozen_summaries_archive\_raw_snapshot_batch09\03_迭代后核心母版V1.2\03_交易策略执行模块\[模块]交易策略与优化_波段超短特色优化综合体系.md	L184-L185	m06_ultrashort_position_caps_v12	单只/单日超短仓位上限条目化，可作为 YZ-B 风险过滤对照证据	单只≤20%，单日≤50%
execution_discipline	11_frozen_summaries_archive\_raw_snapshot_batch09\03_迭代后核心母版V1.2\03_交易策略执行模块\[模块]交易策略与优化_波段超短特色优化综合体系.md	L187-L187	m06_2loss_pause_v12	连续亏损触发停手规则条目化，可作为 YZ-B 执行纪律/停手对照证据	连续2笔超短亏损=停止超短3天
topic_cycle	11_frozen_summaries_archive\_raw_snapshot_batch09\03_迭代后核心母版V1.2\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L238-L242	m05_retreat_order_v12	风险信号与撤退顺序条目化，可作为 YZ-B 的撤退顺序主证据	清仓补涨→清仓龙头→中军减仓→清仓中军
topic_cycle	11_frozen_summaries_archive\_raw_snapshot_batch09\03_迭代后核心母版V1.2\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L41-L41	m05_tide_clear_rule_v12	题材退潮信号出现=立即清仓，可作为 YZ-B 的退潮动作层对照证据	动作层只执行：退潮信号一出就清仓
risk_filter	11_frozen_summaries_archive\_raw_snapshot_batch09\03_迭代后核心母版V1.2\03_交易策略执行模块\[模块]交易策略与优化_波段超短特色优化综合体系.md	L241-L245	m06_position_dynamic_formula_v12	仓位动态公式与单笔仓位上限条目化，可作为 YZ-B 的仓位动态与风险过滤对照证据	实际仓位=基础仓位×信号质量乘数×市场环境系数；单笔仓位=min(实际仓位,25%账户资金)
topic_cycle	11_frozen_summaries_archive\_raw_snapshot_batch09\03_迭代后核心母版V1.2\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L247-L248	m05_retreat_order_core_constraint_v12	撤退顺序不可逆的硬约束条目化，可作为 YZ-B 撤退顺序的补强证据	核心约束：撤退必须严格按补涨→龙头→中军顺序，不可逆势死扛任何一环
topic_cycle	11_frozen_summaries_archive\_raw_snapshot_batch09\03_迭代后核心母版V1.2\02_题材与标的选择模块\[模块]题材中军_筛选建仓协同撤退全体系.md	L73-L73	m05_fifth_sell_tide_exit_v12	五卖（题材退潮）=立即清仓条目化，可作为 YZ-B 退潮动作层对照证据	动作层只执行：五卖=题材退潮=立即清仓
risk_filter	11_frozen_summaries_archive\_raw_snapshot_batch09\03_迭代后核心母版V1.2\03_交易策略执行模块\[模块]交易策略与优化_波段超短特色优化综合体系.md	L234-L239	m06_market_env_position_factor_v12	市场环境仓位系数条目化，可作为 YZ-B 仓位动态公式的环境因子对照证据	强趋势1.2/震荡1.0/弱势0.6/系统性风险0.0（空仓）
