req_id	object_id	field_name	layer	current_source_status	current_source_or_rule	formalization_judgement	note
A_REQ_002	A5_P0_AR_DRAFT	quality_debt_to_asset	valuation_factor_outputs	direct	total_liabilities_div_total_assets	formalizable_now	已有明确公式
A_REQ_002	A5_P0_AR_DRAFT	growth_revenue_yoy	valuation_factor_outputs	direct	current_vs_prior_revenue_growth	formalizable_now	已有明确公式
A_REQ_002	A5_P0_AR_DRAFT	growth_net_profit_yoy	valuation_factor_outputs	direct	current_vs_prior_profit_growth	formalizable_now	已有明确公式
A_REQ_002	A5_P0_AR_DRAFT	cashflow_operating_cf_net	valuation_factor_outputs	direct	operating_cashflow_statement_field	formalizable_now	已有明确财务定义
A_REQ_002	A5_P0_AR_DRAFT	cashflow_ocf_to_net_profit	valuation_factor_outputs	rules_engine_derivable	operating_cashflow_net_div_net_profit_current	formalizable_with_rule	需规则引擎派生
A_REQ_002	A5_P0_AR_DRAFT	valuation_factor_confidence	valuation_factor_outputs	rules_engine_derivable	field_completeness_and_degrade_scoring	formalizable_with_rule	需统一置信度规则
A_REQ_003	A5_P0_AR_DRAFT	portfolio_date	meta	direct	portfolio_snapshot_date	formalizable_now	组合日期
A_REQ_003	A5_P0_AR_DRAFT	benchmark_id	portfolio_policy_inputs	direct	benchmark_snapshot_or_policy	formalizable_now	可无 benchmark 降级
A_REQ_003	A5_P0_AR_DRAFT	alpha_score	portfolio_policy_inputs	proxy	alpha_model_or_factor_rank_proxy	keep_as_proxy	当前未固定正式 alpha 模型
A_REQ_003	A5_P0_AR_DRAFT	covariance_model_id	portfolio_policy_inputs	future_only	risk_model_selection_placeholder	not_formalizable_yet	当前无正式协方差模型闭合
A_REQ_003	A5_P0_AR_DRAFT	tracking_error_limit	portfolio_policy_inputs	direct	policy_constraint	formalizable_now	政策约束输入
A_REQ_003	A5_P0_AR_DRAFT	active_risk_aversion	portfolio_policy_inputs	proxy	target_active_risk_proxy	keep_as_proxy	当前仍属策略偏好代理量
A_REQ_003	A5_P0_AR_DRAFT	transaction_cost_bps	portfolio_policy_inputs	proxy	broker_or_default_policy_bps	keep_as_proxy	当前多依赖默认值/政策参数
A_REQ_003	A5_P0_AR_DRAFT	turnover_limit	portfolio_policy_inputs	direct	policy_constraint	formalizable_now	政策约束输入
A_REQ_003	A5_P0_AR_DRAFT	weight_lower_bound	portfolio_policy_inputs	direct	policy_constraint	formalizable_now	政策约束输入
A_REQ_003	A5_P0_AR_DRAFT	weight_upper_bound	portfolio_policy_inputs	direct	policy_constraint	formalizable_now	政策约束输入
A_REQ_003	A5_P0_AR_DRAFT	long_only_flag	portfolio_policy_inputs	direct	policy_constraint	formalizable_now	政策约束输入
A_REQ_003	A5_P0_AR_DRAFT	rebalance_frequency	portfolio_policy_inputs	direct	delivery_policy	formalizable_now	再平衡策略输入
A_REQ_003	A5_P0_AR_DRAFT	rebalance_trigger	portfolio_policy_inputs	direct	delivery_policy	formalizable_now	再平衡策略输入
A_REQ_003	A5_P0_AR_DRAFT	current_weight	portfolio_final_outputs	direct	current_portfolio_snapshot	formalizable_now	当前组合快照
A_REQ_003	A5_P0_AR_DRAFT	kelly_size_scalar	risk_overlay_inputs	proxy	kelly_contract_or_half_kelly_default	keep_as_proxy	依赖 Kelly 合同与样本充足度
A_REQ_003	A5_P0_AR_DRAFT	vt_size_scalar	risk_overlay_inputs	proxy	voltarget_contract_or_default_1_0	keep_as_proxy	依赖 voltarget 合同
A_REQ_003	A5_P0_AR_DRAFT	pq_position_max_size	risk_overlay_inputs	proxy	pq_contract_or_default_cap	keep_as_proxy	依赖周期环境上限合同
A_REQ_003	A5_P0_AR_DRAFT	target_weight	portfolio_final_outputs	future_only	optimizer_output	not_formalizable_yet	需优化器/权重求解器
A_REQ_003	A5_P0_AR_DRAFT	final_size_scalar	portfolio_final_outputs	rules_engine_derivable	min_kelly_vt_pq_1_0	formalizable_with_rule	已有明确融合规则
A_REQ_003	A5_P0_AR_DRAFT	adjusted_position_weight	portfolio_final_outputs	rules_engine_derivable	target_weight_times_final_size_scalar	formalizable_after_target_weight	依赖 target_weight
A_REQ_003	A5_P0_AR_DRAFT	portfolio_expected_active_return	portfolio_final_outputs	future_only	optimizer_output	not_formalizable_yet	需正式 alpha/优化器
A_REQ_003	A5_P0_AR_DRAFT	portfolio_tracking_error	portfolio_final_outputs	future_only	benchmark_risk_model_output	not_formalizable_yet	需 benchmark + 风险模型
A_REQ_003	A5_P0_AR_DRAFT	degrade_flags	meta	rules_engine_derivable	union_of_degrade_events	formalizable_with_rule	统一降级标记
A_REQ_003	A5_P0_AR_DRAFT	abort_reason	meta	rules_engine_derivable	abort_condition_resolution	formalizable_with_rule	统一中止原因
A_REQ_001	A5_P0_AR_DRAFT	minute_data_runtime_status	data_boundary	sample_only_with_provenance	A_REQ_001_boundary_pages	not_formalizable_as_default_runtime	分钟只到样本层
A_REQ_001	A5_P0_AR_DRAFT	level2_runtime_status	data_boundary	future_only	A_REQ_001_boundary_pages	not_formalizable_yet	Level-2 暂不纳入
