paper_id	source_path_before	suggested_dest_path	source_exists	dest_exists	postcheck_status
A-011	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\风格轮动模型\如虎添翼,两融带给ETF的投资机会——海通ETF风格轮动模型实证分析.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\风格轮动模型\如虎添翼,两融带给ETF的投资机会——海通ETF风格轮动模型实证分析.pdf	0	1	MOVED_OK
A-012	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在工程机械行业的实证.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在工程机械行业的实证.pdf	0	1	MOVED_OK
A-013	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在煤炭行业的实证.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在煤炭行业的实证.pdf	0	1	MOVED_OK
A-014	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在电力行业的实证.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在电力行业的实证.pdf	0	1	MOVED_OK
A-015	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在钢铁行业的实证.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\行业基本面预测模型\行业基本面预测——在钢铁行业的实证.pdf	0	1	MOVED_OK
A-016	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化资产配置 17份\行业轮动模型\衍生产品及量化组合管理策略介绍.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化资产配置 17份\行业轮动模型\衍生产品及量化组合管理策略介绍.pdf	0	1	MOVED_OK
S-001	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\多因子选股模型\A股全市场选股策略研究.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\多因子选股模型\A股全市场选股策略研究.pdf	0	1	MOVED_OK
S-002	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\财务指标选股研究系列\A股上市公司毛利率的均值回归及选股实证.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\财务指标选股研究系列\A股上市公司毛利率的均值回归及选股实证.pdf	0	1	MOVED_OK
S-004	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\选股因子研究系列\A股市场特征研究（二）——波段划分新方法及应用展望.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\选股因子研究系列\A股市场特征研究（二）——波段划分新方法及应用展望.pdf	0	1	MOVED_OK
S-005	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\多因子选股模型\从极值角度进行选股因子有效性的确认——在换手率上的实证.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\多因子选股模型\从极值角度进行选股因子有效性的确认——在换手率上的实证.pdf	0	1	MOVED_OK
S-006	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\分析师荐股能力评定与跟踪.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\分析师荐股能力评定与跟踪.pdf	0	1	MOVED_OK
S-007	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\多因子选股模型\高估值，你是否师出有名？.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\多因子选股模型\高估值，你是否师出有名？.pdf	0	1	MOVED_OK
S-008	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\选股因子研究系列\工欲善其事，必先利其器——选股因子深度解析.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\选股因子研究系列\工欲善其事，必先利其器——选股因子深度解析.pdf	0	1	MOVED_OK
S-011	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\量化选股之事件驱动策略.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\事件驱动策略系列\量化选股之事件驱动策略.pdf	0	1	MOVED_OK
S-012	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\选股因子研究系列\如何捕捉短线反弹机会？.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\选股因子研究系列\如何捕捉短线反弹机会？.pdf	0	1	MOVED_OK
S-013	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\多因子选股模型\商业贸易行业选股策略.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\多因子选股模型\商业贸易行业选股策略.pdf	0	1	MOVED_OK
S-014	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\财务指标选股研究系列\上市公司动量反转以及市值因子的选股识别度.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\财务指标选股研究系列\上市公司动量反转以及市值因子的选股识别度.pdf	0	1	MOVED_OK
S-015	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\财务指标选股研究系列\上市公司估值指标的稳定性与选股识别度.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\财务指标选股研究系列\上市公司估值指标的稳定性与选股识别度.pdf	0	1	MOVED_OK
S-016	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之一——业绩预告之一——把握扭亏、预减公告，获取短期超额收益.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\事件驱动策略系列\事件驱动策略之一——业绩预告之一——把握扭亏、预减公告，获取短期超额收益.pdf	0	1	MOVED_OK
S-017	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之二——关注主板预减快报后的短期反弹机会以及中小板盈利公告.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\事件驱动策略系列\事件驱动策略之二——关注主板预减快报后的短期反弹机会以及中小板盈利公告.pdf	0	1	MOVED_OK
S-018	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之三——指数样本股调整.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\事件驱动策略系列\事件驱动策略之三——指数样本股调整.pdf	0	1	MOVED_OK
S-019	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之四——ETF事件套利研究.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\事件驱动策略系列\事件驱动策略之四——ETF事件套利研究.pdf	0	1	MOVED_OK
S-020	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之五——大股东增减持——关注增持比例较大的事件机会.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\事件驱动策略系列\事件驱动策略之五——大股东增减持——关注增持比例较大的事件机会.pdf	0	1	MOVED_OK
S-021	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之六——规避预案陷阱，把握实施收益.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\事件驱动策略系列\事件驱动策略之六——规避预案陷阱，把握实施收益.pdf	0	1	MOVED_OK
S-022	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之七——高送转行情下的事件性投资机会.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\事件驱动策略系列\事件驱动策略之七——高送转行情下的事件性投资机会.pdf	0	1	MOVED_OK
S-023	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之九——股权激励续篇.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\事件驱动策略系列\事件驱动策略之九——股权激励续篇.pdf	0	1	MOVED_OK
S-024	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之十一——事件驱动组合止损机制设计.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\事件驱动策略系列\事件驱动策略之十一——事件驱动组合止损机制设计.pdf	0	1	MOVED_OK
S-025	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之十二——重要股东持股结构变化蕴含的信息分析.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\事件驱动策略系列\事件驱动策略之十二——重要股东持股结构变化蕴含的信息分析.pdf	0	1	MOVED_OK
S-026	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\事件驱动策略系列\事件驱动策略之十三——定增事件投资——甄别市场，把握买点.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\事件驱动策略系列\事件驱动策略之十三——定增事件投资——甄别市场，把握买点.pdf	0	1	MOVED_OK
S-027	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\选股因子研究系列\现金流量市值比因子的极值效应.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\选股因子研究系列\现金流量市值比因子的极值效应.pdf	0	1	MOVED_OK
S-028	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\多因子选股模型\相关性选股策略——全市场选股方法改进.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\多因子选股模型\相关性选股策略——全市场选股方法改进.pdf	0	1	MOVED_OK
S-029	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\多因子选股模型\相关性选股策略——在房地产行业上的实证.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\多因子选股模型\相关性选股策略——在房地产行业上的实证.pdf	0	1	MOVED_OK
S-030	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\多因子选股模型\相关性选股策略——在纺织服装行业上的实证.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\多因子选股模型\相关性选股策略——在纺织服装行业上的实证.pdf	0	1	MOVED_OK
S-031	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\多因子选股模型\相关性选股策略——在公用事业行业上的实证以及选股因子权重的再讨论.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\多因子选股模型\相关性选股策略——在公用事业行业上的实证以及选股因子权重的再讨论.pdf	0	1	MOVED_OK
S-032	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\多因子选股模型\相关性选股策略——在化学工业行业上的实证.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\多因子选股模型\相关性选股策略——在化学工业行业上的实证.pdf	0	1	MOVED_OK
S-033	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\多因子选股模型\相关性选股策略——在有色金属行业上的实证.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\多因子选股模型\相关性选股策略——在有色金属行业上的实证.pdf	0	1	MOVED_OK
S-034	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\选股因子研究系列\行业内股票业绩弹性分析——在钢铁行业上的实证.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\选股因子研究系列\行业内股票业绩弹性分析——在钢铁行业上的实证.pdf	0	1	MOVED_OK
S-035	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\成长股选股模型\行业内选股策略——钢铁行业.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\成长股选股模型\行业内选股策略——钢铁行业.pdf	0	1	MOVED_OK
S-036	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化选股 40份\成长股选股模型\行业内选股策略——有色金属行业.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化选股 40份\成长股选股模型\行业内选股策略——有色金属行业.pdf	0	1	MOVED_OK
T-001	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化择时 3份\度量市场“恐惧与贪婪”的量化择时指标.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化择时 3份\度量市场“恐惧与贪婪”的量化择时指标.pdf	0	1	MOVED_OK
T-002	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化择时 3份\通过产业资本增减持数据构建的量化择时指标.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化择时 3份\通过产业资本增减持数据构建的量化择时指标.pdf	0	1	MOVED_OK
T-003	D:\Stock\cut_file\《Python股票量化交易从入门到实践》完整版\2.其他量化资料(62份)（赠品）\量化择时 3份\量化择时——度量市场“恐惧与贪婪”的量化择时指标.pdf	D:\Stock\cut_file\__GROUP_08_sorted\BOOKDIR\量化择时 3份\量化择时——度量市场“恐惧与贪婪”的量化择时指标.pdf	0	1	MOVED_OK
