"category"	"original_path"	"new_path"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_covariance_model_id_ready判断准备页__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_covariance_model_id_ready判断准备页__20260716.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_covariance_model_id_本体实跑最小准备页__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_covariance_model_id_本体实跑最小准备页__20260716.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_covariance_model_id_唯一模型定稿准备页__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_covariance_model_id_唯一模型定稿准备页__20260716.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_covariance_model_id_唯一模型收敛准备页__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_covariance_model_id_唯一模型收敛准备页__20260716.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_covariance_model_id_总瓶颈判断准备页__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_covariance_model_id_总瓶颈判断准备页__20260716.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_covariance_model_id_最小集成验证准备页__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_covariance_model_id_最小集成验证准备页__20260716.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_covariance_model_id_最小稳定性检查准备页__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_covariance_model_id_最小稳定性检查准备页__20260716.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_FV_gate_v2_third_window准备页__20260719.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_FV_gate_v2_third_window准备页__20260719.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_portfolio_tracking_error_frozen后续升级判断准备页__20260717.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_portfolio_tracking_error_frozen后续升级判断准备页__20260717.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_portfolio_tracking_error_升级判断准备页__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_portfolio_tracking_error_升级判断准备页__20260716.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_portfolio_tracking_error解除not_output_passed正式边界准备页__20260718.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_portfolio_tracking_error解除not_output_passed正式边界准备页__20260718.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_target_weight_verified_with_degraded_risk后续升级判断准备页__20260717.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_target_weight_verified_with_degraded_risk后续升级判断准备页__20260717.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_target_weight_升级判断重开准备页__20260716.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_target_weight_升级判断重开准备页__20260716.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_target_weight解除not_output_passed正式边界准备页__20260718.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_target_weight解除not_output_passed正式边界准备页__20260718.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_首批真实案例采样仓内证据锚点准备页__20260727.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_首批真实案例采样仓内证据锚点准备页__20260727.md"
"preparation_pages"	"00_entry\全库资料整理收口__20260713\A5_五条代表指标真实案例采样准备页__20260727.md"	"11_frozen_summaries_archive\batch_132_entry_prep_and_briefing_docs__20260806\preparation_pages\A5_五条代表指标真实案例采样准备页__20260727.md"
