path	file_type	producer	scope	status	evidence_mode	note
artifacts/fv_gate_v0/fv_gate_v0_scorecard_latest.json	ARTIFACT	run_fv_gate_v0_minimal_backtest_v1.py	a5_g5_financial_validity_gate_v0	active	hard	first minimal fv gate scorecard json
artifacts/fv_gate_v0/fv_gate_v0_scorecard_latest.tsv	ARTIFACT	run_fv_gate_v0_minimal_backtest_v1.py	a5_g5_financial_validity_gate_v0	active	hard	first minimal fv gate scorecard tsv
artifacts/fv_gate_v0/fv_gate_v0_round2_scorecard_latest.json	ARTIFACT	run_fv_gate_v0_round2_chain_v1.py	a5_g5_financial_validity_gate_v0	active	hard	trend pullback round2 scorecard json
artifacts/fv_gate_v0/fv_gate_v0_round2_scorecard_latest.tsv	ARTIFACT	run_fv_gate_v0_round2_chain_v1.py	a5_g5_financial_validity_gate_v0	active	hard	trend pullback round2 scorecard tsv
artifacts/fv_gate_v0/fv_gate_v0_round2_breakout_scorecard_latest.json	ARTIFACT	run_fv_gate_v0_round2_chain_v1.py	a5_g5_financial_validity_gate_v0	active	hard	breakout control round2 scorecard json
artifacts/fv_gate_v0/fv_gate_v0_round2_breakout_scorecard_latest.tsv	ARTIFACT	run_fv_gate_v0_round2_chain_v1.py	a5_g5_financial_validity_gate_v0	active	hard	breakout control round2 scorecard tsv
artifacts/fv_gate_v0/fv_gate_v0_round3_risklite_scorecard_latest.json	ARTIFACT	run_fv_gate_v0_round2_chain_v1.py	a5_g5_financial_validity_gate_v0	active	hard	round3 risklite scorecard json
artifacts/fv_gate_v0/fv_gate_v0_round3_risklite_scorecard_latest.tsv	ARTIFACT	run_fv_gate_v0_round2_chain_v1.py	a5_g5_financial_validity_gate_v0	active	hard	round3 risklite scorecard tsv
artifacts/fv_gate_v0/fv_gate_v0_round4_rankdecay_risklite_scorecard_latest.json	ARTIFACT	run_fv_gate_v0_round2_chain_v1.py	a5_g5_financial_validity_gate_v0	active	hard	round4 rank-decay risklite scorecard json
artifacts/fv_gate_v0/fv_gate_v0_round4_rankdecay_risklite_scorecard_latest.tsv	ARTIFACT	run_fv_gate_v0_round2_chain_v1.py	a5_g5_financial_validity_gate_v0	active	hard	round4 rank-decay risklite scorecard tsv
artifacts/fv_gate_v0/fv_gate_v0_current_best_scorecard_latest.json	ARTIFACT	run_fv_gate_v0_round2_chain_v1.py	a5_g5_financial_validity_gate_v0	active	hard	current best frozen scorecard json
artifacts/fv_gate_v0/fv_gate_v0_current_best_scorecard_latest.tsv	ARTIFACT	run_fv_gate_v0_round2_chain_v1.py	a5_g5_financial_validity_gate_v0	active	hard	current best frozen scorecard tsv
artifacts/fv_gate_v1_sample_boundary/fv_gate_v1_sample_boundary_scorecard_latest.json	ARTIFACT	run_fv_gate_v0_round2_chain_v1.py	a5_g5_financial_validity_gate_v0	active	hard	adjacent window replay scorecard json for fv gate v1 sample boundary
artifacts/fv_gate_v1_sample_boundary/fv_gate_v1_sample_boundary_scorecard_latest.tsv	ARTIFACT	run_fv_gate_v0_round2_chain_v1.py	a5_g5_financial_validity_gate_v0	active	hard	adjacent window replay scorecard tsv for fv gate v1 sample boundary
artifacts/fv_gate_cost_sensitivity_v0/fv_gate_cost_sensitivity_v0_band_summary_latest.json	ARTIFACT	run_fv_gate_cost_sensitivity_v0_band_v1.py	a5_g5_financial_validity_gate_v0	active	hard	small cost band summary json for first new evidence type
artifacts/fv_gate_cost_sensitivity_v0/fv_gate_cost_sensitivity_v0_band_summary_latest.tsv	ARTIFACT	run_fv_gate_cost_sensitivity_v0_band_v1.py	a5_g5_financial_validity_gate_v0	active	hard	small cost band summary tsv for first new evidence type
artifacts/fv_gate_cost_sensitivity_v0/fv_gate_cost_sensitivity_v0_5bps/fv_gate_cost_sensitivity_v0_5bps_scorecard_latest.json	ARTIFACT	run_fv_gate_cost_sensitivity_v0_band_v1.py	a5_g5_financial_validity_gate_v0	active	hard	5bps scorecard json under cost sensitivity v0 band
artifacts/fv_gate_cost_sensitivity_v0/fv_gate_cost_sensitivity_v0_15bps/fv_gate_cost_sensitivity_v0_15bps_scorecard_latest.json	ARTIFACT	run_fv_gate_cost_sensitivity_v0_band_v1.py	a5_g5_financial_validity_gate_v0	active	hard	15bps scorecard json under cost sensitivity v0 band
artifacts/fv_gate_cost_sensitivity_v0/fv_gate_cost_sensitivity_v0_25bps/fv_gate_cost_sensitivity_v0_25bps_scorecard_latest.json	ARTIFACT	run_fv_gate_cost_sensitivity_v0_band_v1.py	a5_g5_financial_validity_gate_v0	active	hard	25bps scorecard json under cost sensitivity v0 band
fv_gate_holding_rule_v0_probe_template_v1.json	INDEX_NOTE	manual	a5_g5_financial_validity_gate_v0	active	template	holding rule v0 probe template under v1 frozen contract and 15bps
fv_gate_v2_third_window_runtime_params_template_v1.json	INDEX_NOTE	manual	a5_g5_financial_validity_gate_v0	active	template	third non-overlapping window replay params template under current best frozen contract
run_fv_gate_holding_rule_minimal_backtest_v1.py	GENERATOR	manual	a5_g5_financial_validity_gate_v0	active	generator	minimal holding rule backtest runner supporting static hold and fixed period rebalance
run_fv_gate_holding_rule_v0_probe_v1.py	GENERATOR	manual	a5_g5_financial_validity_gate_v0	active	generator	single scenario holding rule probe runner comparing fixed period rebalance against static baseline
artifacts/fv_gate_holding_rule_v0/fv_gate_holding_rule_v0_summary_latest.json	ARTIFACT	run_fv_gate_holding_rule_v0_probe_v1.py	a5_g5_financial_validity_gate_v0	active	hard	holding rule v0 comparison summary json for static baseline vs 20d rebalance
artifacts/fv_gate_holding_rule_v0/fv_gate_holding_rule_v0_summary_latest.tsv	ARTIFACT	run_fv_gate_holding_rule_v0_probe_v1.py	a5_g5_financial_validity_gate_v0	active	hard	holding rule v0 comparison summary tsv for static baseline vs 20d rebalance
artifacts/fv_gate_holding_rule_v0/fv_gate_holding_rule_v0_fixed_period_rebalance_v0_20d/fv_gate_holding_rule_v0_fixed_period_rebalance_v0_20d_scorecard_latest.json	ARTIFACT	run_fv_gate_holding_rule_minimal_backtest_v1.py	a5_g5_financial_validity_gate_v0	active	hard	20 trade day fixed period rebalance scorecard json under holding rule v0
artifacts/fv_gate_window_consistency_v0/fv_gate_window_consistency_v0_summary_latest.json	ARTIFACT	manual	a5_g5_financial_validity_gate_v0	active	hard	cross-window frozen-contract compare summary json between v0 current best and v1 adjacent window
artifacts/fv_gate_window_consistency_v0/fv_gate_window_consistency_v0_summary_latest.tsv	ARTIFACT	manual	a5_g5_financial_validity_gate_v0	active	hard	cross-window frozen-contract compare summary tsv between v0 current best and v1 adjacent window
artifacts/fv_gate_v2_third_window/fv_gate_v2_third_window_scorecard_latest.json	ARTIFACT	run_fv_gate_v0_minimal_backtest_v1.py	a5_g5_financial_validity_gate_v0	active	hard	third non-overlapping window replay scorecard json under current best frozen contract
artifacts/fv_gate_v2_third_window/fv_gate_v2_third_window_scorecard_latest.tsv	ARTIFACT	run_fv_gate_v0_minimal_backtest_v1.py	a5_g5_financial_validity_gate_v0	active	hard	third non-overlapping window replay scorecard tsv under current best frozen contract
artifacts/fv_gate_v2_third_window/fv_gate_v2_third_window_summary_latest.json	ARTIFACT	manual	a5_g5_financial_validity_gate_v0	active	hard	three-window compare summary json with candidate switch audit and metric majority observation
artifacts/fv_gate_v2_third_window/fv_gate_v2_third_window_summary_latest.tsv	ARTIFACT	manual	a5_g5_financial_validity_gate_v0	active	hard	three-window compare summary tsv with candidate switch audit and metric majority observation
artifacts/fv_gate_active_underperformance_v0/fv_gate_active_underperformance_v0_summary_latest.json	ARTIFACT	manual	a5_g5_financial_validity_gate_v0	active	hard	derived explanation-layer summary json for post-third-window active underperformance without new backtest
artifacts/fv_gate_active_underperformance_v0/fv_gate_active_underperformance_v0_summary_latest.tsv	ARTIFACT	manual	a5_g5_financial_validity_gate_v0	active	hard	derived explanation-layer summary tsv for post-third-window active underperformance without new backtest
